ID,bl41,C8166,CEM A 301,CEM SS,CEM X 174,DAUDI,HSB2,HT1080,IMR90,JURKAT E6.1,Jurkat tag,MT4,RAJI,RAMOS,WI38,gene_names
ENSG00000242943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242945,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Unknown
ENSG00000242948,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242950,44,10,0,9,0,53,23,9,27,118,24,86,10,62,67,ERVW-1
ENSG00000242951,96,103,4,92,32,61,62,49,44,31,84,91,61,40,5,Unknown
ENSG00000242952,4,4,0,3,0,2,5,3,1,2,7,3,2,1,0,RPSAP3
ENSG00000242953,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Unknown
ENSG00000242958,22,2,0,11,3,12,0,1,6,15,9,7,8,9,10,RPL36AP32
ENSG00000242960,3,2,0,10,3,0,5,0,36,64,22,5,6,0,112,Unknown
ENSG00000242963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPS20P30
ENSG00000242968,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Unknown
ENSG00000242970,6,7,0,5,0,13,9,3,5,8,11,10,15,8,3,Unknown
ENSG00000242971,3,2,0,0,0,0,6,5,1,6,2,10,0,6,7,RN7SL233P
ENSG00000242973,6,0,0,0,0,0,0,0,0,2,0,3,0,3,0,TDRD6-AS1
ENSG00000242976,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,RN7SL177P
ENSG00000242978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPIAP83
ENSG00000242979,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,RPS15AP18
ENSG00000242983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CABYRP1
ENSG00000242985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL50P
ENSG00000242986,0,2,0,0,0,0,0,0,37,0,0,0,0,0,107,RPL21P99
